Application No,Appeal No,Interference No,Publication No,Publication Date,Patent No,Issue Date,Decision Date,Inventor,Case No
11549608,2014009506,-1,20080138028A1,20080612,NONE,-1,20160921,Ex Parte Grady et al,NONE
13339153,2015005606,-1,20120101644A1,20120426,NONE,-1,20160921,Ex Parte Evans et al,NONE
13223313,2015003342,-1,20130060357A1,20130307,NONE,-1,20160921,Ex Parte Li et al,NONE
12958103,2015000757,-1,20120137539A1,20120607,NONE,-1,20160921,Ex Parte Law,NONE
11649720,2015000604,-1,20070214519A1,20070913,NONE,-1,20160920,Ex Parte Fujiyama et al,NONE
13616660,2015003316,-1,20130002903A1,20130103,NONE,-1,20160920,Ex Parte Manico et al,NONE
11542267,2015004345,-1,20070078220A1,20070405,NONE,-1,20160920,Ex Parte Pudleiner et al,NONE
11331606,2015006696,-1,20060161663A1,20060720,NONE,-1,20160920,Ex Parte Palm,NONE
10830001,2015000021,-1,20040265261A1,20041230,NONE,-1,20160920,Ex Parte Kohut et al,NONE
10664244,2015005156,-1,20050039211A1,20050217,NONE,-1,20160920,Ex Parte Washino,NONE
12321545,2015002647,-1,20100182232A1,20100722,NONE,-1,20160920,Ex Parte Zamoyski,NONE
12239657,2013010366,-1,20090094377A1,20090409,NONE,-1,20160920,Ex Parte Zahavi et al,NONE
12011652,2015001500,-1,20080181931A1,20080731,NONE,-1,20160920,Ex Parte Qiu et al,NONE
11964238,2015000455,-1,20090069915A1,20090312,NONE,-1,20160920,Ex Parte Khedouri et al,NONE
12639882,2014006065,-1,20100178413A1,20100715,NONE,-1,20160920,Ex Parte Gorris,NONE
12577526,2014007019,-1,20100040051A1,20100218,NONE,-1,20160920,Ex Parte LEE,NONE
12525731,2014006959,-1,20100090059A1,20100415,NONE,-1,20160920,Ex Parte Johnson,NONE
12521793,2014003571,-1,20100112605A1,20100506,NONE,-1,20160920,Ex Parte Paul et al,NONE
12503527,2014007788,-1,20090276944A1,20091112,NONE,-1,20160920,Ex Parte Hand et al,NONE
12487709,2014006958,-1,20100018246A1,20100128,NONE,-1,20160920,Ex Parte Wolfe et al,NONE
12466148,2014005313,-1,20100289620A1,20101118,NONE,-1,20160920,Ex Parte Aminger et al,NONE
12473413,2015002842,-1,20100305912A1,20101202,NONE,-1,20160920,Ex Parte Viassolo et al,NONE
12419218,2014007798,-1,20090298716A1,20091203,NONE,-1,20160920,Ex Parte Stuelpnagel et al,NONE
12944053,2015007407,-1,20110131485A1,20110602,NONE,-1,20160920,Ex Parte Bao et al,NONE
12878448,2014008321,-1,20110061616A1,20110317,NONE,-1,20160920,Ex Parte WATANABE,NONE
12860078,-1,106008,20110046203A1,20110224,7960541,20110614,20160920,Wilton et al. V. Wilton et al. V. Van Deutekom,NONE
