Application No,Appeal No,Interference No,Publication No,Publication Date,Patent No,Issue Date,Decision Date,Inventor,Case No
07851887,1996002673,NONE,NONE,-1,5757140,19980526,19980107,Ex parte NILSSEN,NONE
07927543,1996000587,NONE,NONE,-1,5855009,19981229,19980107,Ex parte GARCIA et al.,NONE
07795158,1993004005,NONE,NONE,-1,5981212,19991109,19980107,Ex parte KURTH,NONE
08179926,1997000582,NONE,NONE,-1,5781750,19980714,19980107,Ex parte BLONGREN,NONE
07716115,1994001709,NONE,NONE,-1,6060312,20000509,19980107,Ex parte SECOR et al.,NONE
07908728,1994002895,NONE,NONE,-1,6113976,20000905,19980106,Ex parte CHIOU et al.,NONE
07823827,1994003206,NONE,NONE,-1,5882685,19990316,19980106,Ex parte ASHMEAD,NONE
07795307,1995000757,NONE,NONE,-1,5795926,19980818,19980106,Ex parte NIESSNER et al.,NONE
07534872,1995004189,NONE,NONE,-1,5879798,19990309,19980106,Ex parte KOBAYASHI et al.,NONE
08288103,1996003895,NONE,NONE,-1,5821412,19981013,19980106,Ex parte BRYANT et al.,NONE
08218488,1996002247,NONE,NONE,-1,5875728,19990302,19980106,Ex parte AYERS et al.,NONE
08030704,1996002862,NONE,NONE,-1,5881982,19990316,19980106,Ex parte HOLLINGSWORTH et al.,NONE
07618437,1993004205,NONE,NONE,-1,6017752,20000125,19980106,Ex parte JANISIEWICZ et al.,NONE
07944653,1995002807,NONE,NONE,-1,5838523,19981117,19980106,Ex parte OKADA,NONE
07873113,1997000399,NONE,NONE,-1,6007259,19991228,19980105,Ex parte MORI et al.,NONE
08171484,1996003549,NONE,NONE,-1,6736804,20040518,19980102,Ex Parte ROBERTSON et al,NONE
08019700,1995002768,NONE,NONE,-1,5826767,19981027,19980102,Ex parte CHIMENTI et al.,NONE
07789738,1994004377,NONE,NONE,-1,5824857,19981020,19971231,Ex parte BEACHY,NONE
08255076,1996003885,NONE,NONE,-1,5810637,19980922,19971231,Ex parte MILETI,NONE
07621005,1995003710,NONE,NONE,-1,5796717,19980818,19971230,Ex parte SHINBASHI et al.,NONE
07990216,1995004932,NONE,NONE,-1,5894068,19990413,19971230,Ex parte KHARAS et al.,NONE
07785565,1993003529,NONE,NONE,-1,5866129,19990202,19971230,Ex parte CHANG et al.,NONE
07839065,1995003616,NONE,NONE,-1,5841241,19981124,19971230,Ex parte NILSSEN,NONE
08189140,1996001820,NONE,NONE,-1,5788591,19980804,19971229,Ex parte DECKER,NONE
08318781,1996002890,NONE,NONE,-1,5794932,19980818,19971229,Ex parte FIORI,NONE
08089944,1996000889,NONE,NONE,-1,5855785,19990105,19971229,Ex parte HEIJNEN et al.,NONE
07984762,1996001812,NONE,NONE,-1,5916525,19990629,19971229,Ex parte HUSAR et al.,NONE
08001474,1997000707,NONE,NONE,-1,5829009,19981027,19971229,Ex parte FRAZIER,NONE
08051800,1995003114,NONE,NONE,-1,5865356,19990202,19971224,Ex parte ARVIDSSON,NONE
08046476,1995004714,NONE,NONE,-1,5845325,19981201,19971223,Ex parte LOO et al.,NONE
08142381,1996003480,NONE,NONE,-1,5897568,19990427,19971223,Ex parte VANRAES,NONE
08095476,1996001881,NONE,NONE,-1,5832630,19981110,19971223,Ex parte POTTER,NONE
08341837,1996004085,NONE,NONE,-1,5779513,19980714,19971223,Ex parte JUDITH A. BURTON et al.,NONE
08329219,1997000750,NONE,NONE,-1,5771816,19980630,19971223,"Ex parte JAMES ZAGUROLI, JR.",NONE
07743613,1994003208,NONE,NONE,-1,5783179,19980721,19971223,Ex parte NESTOR JR. et al.,NONE
07955258,1996000393,NONE,NONE,-1,5830546,19981103,19971223,Ex parte EHRET,NONE
07773603,1994001942,NONE,NONE,-1,5862626,19990126,19971223,Ex parte ONISHI et al.,NONE
07931737,1994003599,NONE,NONE,-1,5741383,19980421,19971223,Ex parte ANDREW R. KNEISEL,NONE
07896154,1995000073,NONE,NONE,-1,5869297,19990209,19971223,Ex parte BINDER et al.,NONE
07917261,1994003479,NONE,NONE,-1,5788936,19980804,19971223,Ex parte SUBRAMANIAN et al.,NONE
07892598,1994003279,NONE,NONE,-1,5955297,19990921,19971223,Ex parte FRANKE,NONE
07696973,1996001353,NONE,NONE,-1,5786306,19980728,19971223,Ex parte GAO et al.,NONE
08207116,1996001835,NONE,NONE,-1,5799765,19980901,19971222,Ex parte YUICHI ONO et al.,NONE
07744324,1995002867,NONE,NONE,-1,6347146,20020212,19971222,Ex parte SHORT et al.,NONE
08041349,NONE,103888,NONE,-1,RE36849,20000905,19971222,SCHAD et al. V. GOTO et al.,NONE
07891376,1994003846,NONE,NONE,-1,5767213,19980616,19971222,Ex parte ANDREW T. GRAHAM et al.,NONE
07950081,1996000586,NONE,NONE,-1,5828972,19981027,19971222,Ex parte NOBUYOSHI ASANUMA et al.,NONE
06867680,NONE,103888,NONE,-1,4797228,19890110,19971222,SCHAD et al. V. GOTO et al.,NONE
07878940,1995000562,NONE,NONE,-1,5922652,19990713,19971219,Ex parte KOWALSKI et al.,NONE
07867049,1995000517,NONE,NONE,-1,6099877,20000808,19971219,Ex parte SCHUPPAN,NONE
07904419,1995003611,NONE,NONE,-1,5880031,19990309,19971219,Ex parte WONG,NONE
07825979,1995005061,NONE,NONE,-1,5852449,19981222,19971219,Ex parte ESSLINGER et al.,NONE
08124334,1995004113,NONE,NONE,-1,5766390,19980616,19971218,Ex parte JOHN D. JENSEN,NONE
07730199,1995000429,NONE,NONE,-1,5910361,19990608,19971218,Ex parte GUEVEL et al.,NONE
07725327,1995000885,NONE,NONE,-1,5843970,19981201,19971218,Ex parte PERSHADSINGH et al.,NONE
08137590,1996003238,NONE,NONE,-1,5802271,19980901,19971217,Ex parte YASUHIRO HASHIMOTO et al.,NONE
08101668,1996001830,NONE,NONE,-1,6068606,20000530,19971217,Ex parte CASTEL et al.,NONE
08252832,1996003758,NONE,NONE,-1,5806018,19980908,19971217,Ex parte SMITH et al.,NONE
08209260,1996003845,NONE,NONE,-1,5836141,19981117,19971217,Ex parte SUNDBERG,NONE
08035832,1995000244,NONE,NONE,-1,6258884,20010710,19971217,Ex parte MULHOLLAND,NONE
07423472,1996001957,NONE,NONE,-1,5795354,19980818,19971217,Ex parte RIPPON,NONE
07796310,1995000938,NONE,NONE,-1,5805773,19980908,19971217,Ex parte NAOHISA KOMETANI et al.,NONE
07910967,1994004429,NONE,NONE,-1,5824626,19981020,19971217,Ex parte SOWERBY,NONE
07983173,1995001110,NONE,NONE,-1,5817352,19981006,19971217,Ex parte DALE G. WATSON et al.,NONE
07748486,NONE,102922,NONE,-1,5972100,19991026,19971217,"PATENT INTERFERENCES NO. 102,922 & 103,088 DUMAS V. GILL",NONE
08114896,1997002142,NONE,NONE,-1,5841023,19981124,19971216,Ex parte PARKER et al.,NONE
08081561,1996002865,NONE,NONE,-1,5813865,19980929,19971216,Ex parte THOMAS J. GREENBOWE et al.,NONE
07812982,1995003433,NONE,NONE,-1,5778348,19980707,19971216,Ex parte FLAVIO M. MANDULEY et al.,NONE
08109983,1995003753,NONE,NONE,-1,5845220,19981201,19971216,Ex parte PUTHOFF,NONE
08062274,1996001873,NONE,NONE,-1,5839748,19981124,19971215,Ex parte COHEN,NONE
08063919,1996001511,NONE,NONE,-1,5820095,19981013,19971215,Ex parte STONE,NONE
08057206,1995003031,NONE,NONE,-1,5832100,19981103,19971215,Ex parte LAWTON et al.,NONE
