patentId,artUnit,examinerName,filingDate,issueDate
6553350,3628,"POINVIL, FRANTZY",1999-02-19,2003-04-22
6064970,2862,"COSIMANO, EDWARD R",1998-08-17,2000-05-16
8140358,3695,"NIQUETTE, ROBERT R",2008-06-03,2012-03-20
6064970,2862,"COSIMANO, EDWARD R",1998-08-17,2000-05-16
6675151,3623,"TARAE, CATHERINE MICHELLE",1999-10-15,2004-01-06
5361201,2857,"SCHECHTER, ANDREW M",1992-10-19,1994-11-01
7124088,3626,"GILLIGAN, CHRISTOPHER L",1999-07-30,2006-10-17
7124088,3626,"GILLIGAN, CHRISTOPHER L",1999-07-30,2006-10-17
7877269,3686,"NGUYEN, HIEP VAN",2006-10-13,2011-01-25
7877269,3686,"NGUYEN, HIEP VAN",2006-10-13,2011-01-25
8090598,3686,"WILLIAMS, TERESA S",2004-01-23,2012-01-03
8090598,3686,"WILLIAMS, TERESA S",2004-01-23,2012-01-03
7941357,3694,"COLBERT, ELLA",2003-09-05,2011-05-10
6438526,2165,"GARG, YOGESH C",1999-03-29,2002-08-20
8140358,3695,"NIQUETTE, ROBERT R",2008-06-03,2012-03-20
8037158,2448,"VU, VIET DUY",2007-10-30,2011-10-11
6625582,3624,"KYLE, CHARLES R",1999-03-12,2003-09-23
5862223,3642,"CAIN, DAVID C",1996-07-24,1999-01-19
8346637,3684,"FIELDS, BENJAMIN S",2003-10-14,2013-01-01
6834282,2126,"COURTENAY III, ST JOHN",2001-06-18,2004-12-21
7426481,3625,"ROSEN, NICHOLAS D",2001-01-26,2008-09-16
5191573,2688,"YOUNG, WAYNE R",1990-09-18,1993-03-02
5191573,2688,"YOUNG, WAYNE R",1990-09-18,1993-03-02
5966440,2131,"CHACE, CHRISTIAN",1995-06-06,1999-10-12
5966440,2131,"CHACE, CHRISTIAN",1995-06-06,1999-10-12
8095413,3623,"MCPHILLIP, ADRIAN J",1999-05-14,2012-01-10
7856430,2156,"EHICHIOYA, IRETE FRED",2007-11-21,2010-12-21
7298271,2612,"TWEEL JR, JOHN ALEXANDER",2005-09-19,2007-11-20
6418419,2165,"THOMPSON JR, FOREST",1999-07-23,2002-07-09
7383223,3693,"WEISBERGER, RICHARD C",2000-09-20,2008-06-03
7853524,3691,"CAMPEN, KELLY SCAGGS",2001-12-26,2010-12-14
7996311,3667,"MALHOTRA, SANJEEV",2009-01-28,2011-08-09
7792749,3694,"COLBERT, ELLA",2000-12-13,2010-09-07
8155679,2617,"HUA, QUAN M",2009-11-18,2012-04-10
8457670,,,,
7664516,2617,"HUA, QUAN M",2005-12-23,2010-02-16
7441196,2174,"KE, PENG",2006-03-13,2008-10-21
7333937,3686,"NAJARIAN, LENA",2001-09-13,2008-02-19
8185408,3686,"NAJARIAN, LENA",2008-01-23,2012-05-22
5424944,2411,"MCELHENY JR, DONALD E",1994-02-02,1995-06-13
5878400,3627,"ZEENDER, FLORIAN M",1996-06-17,1999-03-02
8452646,3688,"DAGNEW, SABA",2010-10-14,2013-05-28
8438055,3688,"DAGNEW, SABA",2010-07-01,2013-05-07
RE043904,,,,
5664110,2411,"POINVIL, FRANTZY",1994-12-08,1997-09-02
7356498,3627,"RUDY, ANDREW J",1999-12-30,2008-04-08
7980457,3687,"RUDY, ANDREW J",2008-02-22,2011-07-19
8266044,3687,"RUDY, ANDREW J",2011-07-07,2012-09-11
7904326,3687,"RUDY, ANDREW J",2001-06-29,2011-03-08
7958024,3691,"HAMILTON, LALITA M",2001-03-15,2011-06-07
7908304,3687,"RUDY, ANDREW J",2001-03-15,2011-03-15
8266015,3687,"FRENEL, VANEL",2011-05-25,2012-09-11
7970674,3694,"BASIT, ABDUL",2006-02-03,2011-06-28
8036988,3691,"SHRESTHA, BIJENDRA K",2010-10-12,2011-10-11
7840486,3691,"SHRESTHA, BIJENDRA K",2005-10-17,2010-11-23
5949880,2131,"CHACE, CHRISTIAN",1997-11-26,1999-09-07
8326924,2442,"HARRELL, ROBERT B",2012-08-01,2012-12-04
5884270,2758,"OVEDOVITZ, DAVID M",1996-09-06,1999-03-16
5884272,3623,"BEHNCKE, CHRISTINE M",1996-09-06,1999-03-16
7463151,2612,"NGUYEN, PHUNG",2006-03-31,2008-12-09
7024205,2681,"PEREZ, JULIO R",2000-11-06,2006-04-04
7203752,2143,"NGUYEN, PHUOC H",2002-02-14,2007-04-10
5412730,2431,"ZECHER, CORDELIA P K",1992-04-23,1995-05-02
6950807,3627,"LANEAU, RONALD",2001-12-31,2005-09-27
8224913,2455,"TRAN, PHILIP B",2010-11-22,2012-07-17
6625582,3624,"KYLE, CHARLES R",1999-03-12,2003-09-23
6982733,2173,"NGUYEN, CAO H",2001-11-01,2006-01-03
8146077,2191,"BROPHY, MATTHEW J",2005-04-22,2012-03-27
6384850,2173,"NGUYEN, CAO H",1999-09-21,2002-05-07
6871325,2173,"NGUYEN, CAO H",2001-11-01,2005-03-22
8209389,,,,
8037158,2448,"VU, VIET DUY",2007-10-30,2011-10-11
7490091,2442,"HARRELL, ROBERT B",2008-09-01,2009-02-10
6032137,3685,"HAYES, JOHN W",1998-05-19,2000-02-29
5910988,2131,"CHACE, CHRISTIAN",1997-08-27,1999-06-08
8402281,2494,"ABRISHAMKAR, KAVEH",2010-10-29,2013-03-19
7010508,2833,"CHUNG TRANS, XUONG MY",1995-04-07,2006-03-07
5576951,2411,"MCELHENY JR, DONALD E",1994-03-16,1996-11-19
5361201,2857,"SCHECHTER, ANDREW M",1992-10-19,1994-11-01
8083137,2887,"LE, THIEN MINH",2009-05-26,2011-12-27
7664701,3693,"PATEL, JAGDISH",2006-11-01,2010-02-16
7603382,2167,"LEWIS, CHERYL RENEA",2004-11-05,2009-10-13
6182894,2876,"LE, THIEN MINH",1998-10-28,2001-02-06
7757298,2435,"PICH, PONNOREAY",2005-06-03,2010-07-13
7260587,2167,"LEWIS, CHERYL RENEA",2003-12-22,2007-08-21
7596784,2192,"KENDALL, CHUCK O",2001-09-10,2009-09-29
7051002,3628,"POINVIL, FRANTZY",2003-06-12,2006-05-23
8140429,3694,"APPLE, KIRSTEN SACHWITZ",2010-03-10,2012-03-20
7693783,3694,"APPLE, KIRSTEN SACHWITZ",2006-05-23,2010-04-06
5940510,2131,"CHACE, CHRISTIAN",1996-01-31,1999-08-17
5949880,2131,"CHACE, CHRISTIAN",1997-11-26,1999-09-07
6105013,3662,"GREGORY, BERNARR E",1998-03-10,2000-08-15
6237095,2437,"SMITHERS, MATTHEW",1998-01-06,2001-05-22
7499872,3688,"MYHRE, JAMES W",2000-11-01,2009-03-03
