Art Unit,Class,Class Title,Subclass From,Subclass To
1611,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",401,
1612,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",450,
1612,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",484,
1612,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",49,58
1615,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",400,
1615,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",402,449
1615,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",451,483
1615,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",48,
1615,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",485,502
1615,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",61,64
1615,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",69,78.38
1616,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",123,126
1616,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",40,47
1616,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",59,60
1616,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",600,648
1616,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",65,68
1616,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",650,724
1616,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",84,
1616,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",900,DIG 16
1616,504,PLANT PROTECTING AND REGULATING COMPOSITIONS,ALL,
1618,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",1.11,10.4
1618,534,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,10,16
1621,534,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,FOR 000,
1621,987,"ORGANIC COMPOUNDS CONTAINING A Bi, Sb, As, OR P ATOM OR CONTAINING A METAL ATOM OF THE 6TH TO 8TH GROUP OF THE PERIODIC SYSTEM",FOR 000,
1624,540,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,1,464
1624,540,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,484,FOR 000
1624,544,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,ALL,
1625,540,ORGANIC COMPOUNDS-- PART OF THE CLASS 532-570 SERIES,465,483
1625,546,ORGANIC COMPOUNDS-- PART OF THE CLASS 532-570 SERIES,ALL,
1625,549,ORGANIC COMPOUNDS-- PART OF THE CLASS 532-570 SERIES,ALL,
1626,534,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,550,DIG 10
1626,548,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,7,
1626,548,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,ALL,
1626,558,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,ALL,
1626,987,"ORGANIC COMPOUNDS  CONTAINING A Bi, Sb, As, OR P ATOM OR CONTAINING A METAL ATOM OF THE 6TH TO 8TH GROUP OF THE PERIODIC SYSTEM",1,368
1629,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",649,
1629,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",1,
1629,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",63,DIG 1
1629,532,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,ALL,
1631,702,"DATA PROCESSING: MEASURING, CALIBRATING, OR TESTING",19,21
1631,703,"DATA PROCESSING: STRUCTURAL DESIGN, MODELING, SIMULATION, AND EMULATION",11,12
1632,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",570,
1632,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,325,
1632,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,69.5,69.52
1632,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,69.8,69.9
1632,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,91.33,
1632,536,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,23.1,
1632,536,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,23.5,
1632,800,MULTICELLULAR LIVING ORGANISMS AND UNMODIFIED PARTS THEREOF AND RELATED PROCESSES,3,25
1632,800,MULTICELLULAR LIVING ORGANISMS AND UNMODIFIED PARTS THEREOF AND RELATED PROCESSES,FOR 100,
1633,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",93.2,93.21
1633,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,320.1,
1633,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,455,
1633,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,458,
1633,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,463,
1634,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,6.1,6.11
1634,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,6.14,6.18
1634,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,FOR 237,
1634,536,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,24.1,24.33
1636,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,252.3,252.35
1636,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,254.11,254.9
1636,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,337,338
1636,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,358,360
1636,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,440,448
1636,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,6.13,
1636,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,69.1,
1636,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,FOR 100,FOR 113
1636,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",44 R,
1637,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,6.12,
1639,506,"COMBINATORIAL CHEMISTRY TECHNOLOGY: METHOD, LIBRARY, APPARATUS",1,32
1639,506,"COMBINATORIAL CHEMISTRY TECHNOLOGY: METHOD, LIBRARY, APPARATUS",41,43
1641,930,PEPTIDE OR PROTEIN SEQUENCE,FOR 000,
1642,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",137.1,138.1
1642,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",155.1,156.1
1642,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",278.1,280.1
1642,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",800,801
1642,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",806,809
