Application No,Appeal No,Interference No,Publication No,Publication Date,Patent No,Issue Date,Decision Date,Inventor,Case No
10501713,2011007022,NONE,20050070193A1,20050331,NONE,-1,20120529,Ex Parte Hennige et al,NONE
10534418,2010001209,NONE,20060014492A1,20060119,NONE,-1,20120529,Ex Parte Del Prado Pavon et al,NONE
10163359,2009015202,NONE,20030228013A1,20031211,NONE,-1,20120529,Ex Parte Etter,NONE
10194805,2011012070,NONE,20040009180A1,20040115,NONE,-1,20120529,Ex Parte Donovan,NONE
10177953,2010002951,NONE,20030037302A1,20030220,NONE,-1,20120529,Ex Parte Dzienis,NONE
10352737,2010000003,NONE,20040146001A1,20040729,,-1,20120529,Ex Parte Koll et al,NONE
10352737,2010000003,NONE,20040146001A1,20040729,NONE,-1,20120529,Ex Parte Koll et al,NONE
10576387,2010005872,NONE,20070117037A1,20070524,NONE,-1,20120526,Ex Parte Spector et al,NONE
90009182,2012002362,NONE,NONE,-1,NONE,-1,20120525,"Ex Parte 6,843,372 et al",NONE
09729984,2011002721,NONE,20010037250A1,20011101,NONE,-1,20120525,Ex Parte Lefkowitz,NONE
11737389,2010012083,NONE,20080025920A1,20080131,NONE,-1,20120525,Ex Parte Simes et al,NONE
11796999,2010003409,NONE,20070285925A1,20071213,NONE,-1,20120525,Ex Parte Hough,NONE
11938625,2011002257,NONE,20090124975A1,20090514,NONE,-1,20120525,Ex Parte Oliver et al,NONE
11908473,2011003302,NONE,20090099655A1,20090416,NONE,-1,20120525,Ex Parte Kircheisen,NONE
11702519,2011004523,NONE,20070184352A1,20070809,NONE,-1,20120525,Ex Parte Donoue et al,NONE
11688104,2011002159,NONE,20090018007A1,20090115,NONE,-1,20120525,Ex Parte Siebers et al,NONE
11453571,2011008798,NONE,20070289258A1,20071220,NONE,-1,20120525,Ex Parte Jung et al,NONE
11468436,2011002885,NONE,20070150421A1,20070628,NONE,-1,20120525,Ex Parte Chatte,NONE
11482103,2010012475,NONE,20080008829A1,20080110,NONE,-1,20120525,Ex Parte Blacker et al,NONE
