PDF No,Application No,Appeal No,Interference No,Publication No,Publication Date,Patent No,Issue Date,Decision Date,Inventor,Case No
1.0,13223313,2015003342,NONE,20130060357A1,20130307,NONE,-1,20160921,Ex Parte Li et al,NONE
1.1,13524610,2014009181,NONE,20130338885A1,20131219,NONE,-1,20160921,Ex Parte Kirk et al,NONE
1.2,13526438,2014009641,NONE,20120253877A1,20121004,NONE,-1,20160921,Ex Parte Muller et al,NONE
1.3,13490020,2015003201,NONE,20120246138A1,20120927,NONE,-1,20160921,Ex Parte Carraher et al,NONE
1.4,13432519,2014003823,NONE,20120237986A1,20120920,NONE,-1,20160921,Ex Parte Ziyatdinov et al,NONE
1.5,13449080,2015005460,NONE,20120201355A1,20120809,NONE,-1,20160921,Ex Parte Butzine et al,NONE
1.6,13381078,2015003921,NONE,20120230914A1,20120913,NONE,-1,20160921,Ex Parte Watanabe et al,NONE
1.7,90013418,2016007605,NONE,NONE,-1,NONE,-1,20160921,"Ex Parte 6,493,377  B2 et al",NONE
1.8,14013135,2015000959,NONE,20130340570A1,20131226,NONE,-1,20160921,Ex Parte Whitcomb et al,NONE
1.9,14134697,2015006941,NONE,20140106771A1,20140417,NONE,-1,20160921,Ex Parte Larsson et al,NONE
1.10,14177997,2016007145,NONE,20150223638A1,20150813,NONE,-1,20160921,Ex Parte Davis,NONE
1.11,13628421,2015005462,NONE,20140089510A1,20140327,NONE,-1,20160921,Ex Parte Hao et al,NONE
1.12,10900415,2015000769,NONE,20060024361A1,20060202,NONE,-1,20160921,Ex Parte Odidi et al,NONE
1.13,10733727,2015004069,NONE,20050128295A1,20050616,NONE,-1,20160921,Ex Parte Addy,NONE
1.14,12071005,2015006713,NONE,20080181375A1,20080731,NONE,-1,20160921,Ex Parte Holder et al,NONE
1.15,11928251,2015000121,NONE,20080140396A1,20080612,NONE,-1,20160921,Ex Parte Grosse-Schulte et al,NONE
1.16,11719182,2014006764,NONE,20090076653A1,20090319,NONE,-1,20160921,Ex Parte Hietmann et al,NONE
1.17,11720384,2015000657,NONE,20080305946A1,20081211,NONE,-1,20160921,Ex Parte Cao et al,NONE
1.18,11549608,2014009506,NONE,20080138028A1,20080612,NONE,-1,20160921,Ex Parte Grady et al,NONE
1.19,11560267,2015000046,NONE,20070107722A1,20070517,NONE,-1,20160921,Ex Parte Hoelz et al,NONE
1.20,11372540,2013010369,NONE,20070214111A1,20070913,NONE,-1,20160921,Ex Parte Jin et al,NONE
1.21,12362664,2015003763,NONE,20090196401A1,20090806,NONE,-1,20160921,Ex Parte Awan et al,NONE
1.22,12293574,2015002488,NONE,20100233512A1,20100916,NONE,-1,20160921,Ex Parte Tsujiuchi,NONE
1.23,12255439,2015003507,NONE,20100097472A1,20100422,NONE,-1,20160921,Ex Parte Chathukutty et al,NONE
1.24,12122497,2014001065,NONE,20090287522A1,20091119,NONE,-1,20160921,Ex Parte Motoyama et al,NONE
1.25,12131395,2015002464,NONE,20090260023A1,20091015,NONE,-1,20160921,Ex Parte Murthy et al,NONE
1.26,12632943,2015003104,NONE,20100085430A1,20100408,NONE,-1,20160921,Ex Parte Kreiner et al,NONE
1.27,12631055,2014008323,NONE,20110135957A1,20110609,NONE,-1,20160921,Ex Parte Goller et al,NONE
1.28,12595147,2014008436,NONE,20100143249A1,20100610,NONE,-1,20160921,Ex Parte Moser et al,NONE
1.29,12577785,2014008335,NONE,20100029878A1,20100204,NONE,-1,20160921,Ex Parte MATSUOKA et al,NONE
1.30,12533731,2015000159,NONE,20100030259A1,20100204,NONE,-1,20160921,Ex Parte Pavcnik et al,NONE
1.31,12499667,2014008180,NONE,20110008567A1,20110113,NONE,-1,20160921,Ex Parte Weeks et al,NONE
1.32,12486274,2014003095,NONE,20100322774A1,20101223,NONE,-1,20160921,Ex Parte Morrison,NONE
1.33,12456418,2013003387,NONE,20090264815A1,20091022,NONE,-1,20160921,Ex Parte Grogan,NONE
1.34,12869871,2015005324,NONE,20120050816A1,20120301,NONE,-1,20160921,Ex Parte Plante et al,NONE
1.35,12861974,2014006606,NONE,20120053501A1,20120301,NONE,-1,20160921,Ex Parte Brown,NONE
1.36,12828368,2015005715,NONE,20110199480A1,20110818,NONE,-1,20160921,Ex Parte LEV et al,NONE
1.37,12808013,2015002499,NONE,20100272994A1,20101028,NONE,-1,20160921,Ex Parte Carlson et al,NONE
1.38,12784052,2014008175,NONE,20110284321A1,20111124,NONE,-1,20160921,Ex Parte Hall et al,NONE
1.39,12765192,2015004973,NONE,20100270158A1,20101028,NONE,-1,20160921,Ex Parte Logan,NONE
1.40,12748141,2015001714,NONE,20100243164A1,20100930,NONE,-1,20160921,Ex Parte Sharpless et al,NONE
1.41,12738306,2015002932,NONE,20100223328A1,20100902,NONE,-1,20160921,Ex Parte Haataja et al,NONE
1.42,12701823,2015007128,NONE,20100217418A1,20100826,NONE,-1,20160921,Ex Parte Fontanot,NONE
1.43,12707753,2015004526,NONE,20100211633A1,20100819,NONE,-1,20160921,Ex Parte Dingfelder et al,NONE
1.44,12664177,2014002943,NONE,20100291636A1,20101118,NONE,-1,20160921,Ex Parte Johansson et al,NONE
1.45,12673839,2014007838,NONE,20110027568A1,20110203,NONE,-1,20160921,Ex Parte Nihlstrand et al,NONE
1.46,13028595,2015006551,NONE,20110205182A1,20110825,NONE,-1,20160921,Ex Parte MIYAZAWA et al,NONE
1.47,13015501,2014004350,NONE,20120197652A1,20120802,NONE,-1,20160921,Ex Parte Corrigan et al,NONE
1.48,13000941,2014009291,NONE,20110283677A1,20111124,NONE,-1,20160921,Ex Parte Kaefer,NONE
1.49,13002652,2015004840,NONE,20110119434A1,20110519,NONE,-1,20160921,Ex Parte Brown,NONE
1.50,13009117,2014009523,NONE,20120185054A1,20120719,NONE,-1,20160921,Ex Parte Maloney et al,NONE
1.51,12991502,2015004677,NONE,20110058542A1,20110310,NONE,-1,20160921,Ex Parte Nylander et al,NONE
1.52,12989822,2015003531,NONE,20110043129A1,20110224,NONE,-1,20160921,Ex Parte Koolen,NONE
1.53,12978859,2015003114,NONE,20110188371A1,20110804,NONE,-1,20160921,Ex Parte BRUNNBERG et al,NONE
1.54,12972756,2015005024,NONE,20120158772A1,20120621,NONE,-1,20160921,Ex Parte Shafran et al,NONE
1.55,12958103,2015000757,NONE,20120137539A1,20120607,NONE,-1,20160921,Ex Parte Law,NONE
1.56,12940075,2015005799,NONE,20120111522A1,20120510,NONE,-1,20160921,Ex Parte Bullied et al,NONE
1.57,12924351,2013009068,NONE,20110020921A1,20110127,NONE,-1,20160921,Ex Parte Kluttz et al,NONE
1.58,12933092,2015004053,NONE,20110088733A1,20110421,NONE,-1,20160921,Ex Parte B¿sing et al,NONE
1.59,12890286,2014007407,NONE,20110015667A1,20110120,NONE,-1,20160921,Ex Parte Gonzales et al,NONE
