Application No,Appeal No,Interference No,Publication No,Publication Date,Patent No,Issue Date,Decision Date,Inventor,Case No
07987552,1995000868,NONE,NONE,-1,6045042,20000404,19970724,Ex parte OHNO,NONE
07547630,1995001351,NONE,NONE,-1,5778423,19980707,19970724,Ex parte SITES et al.,NONE
07692921,1994004393,NONE,NONE,-1,5807982,19980810,19970724,Ex parte MCCAFFREY et al.,NONE
07777877,1995003658,NONE,NONE,-1,6026505,20000215,19970723,Ex parte HEDBERG et al.,NONE
08009200,1995003362,NONE,NONE,-1,5751604,19980512,19970723,Ex parte NORIYUKI YAMAUCHI,NONE
07956126,1994003474,NONE,NONE,-1,5723613,19980303,19970723,Ex parte GUIDO STEFFAN,NONE
08324476,1996003553,NONE,NONE,-1,5744223,19980428,19970722,Ex parte ABERSFELDER et al.,NONE
08296856,1996003544,NONE,NONE,-1,5728178,19980317,19970722,"Ex parte C.A. BUFFINGTON, et al.",NONE
07914654,1994003000,NONE,NONE,-1,6012472,20000111,19970722,Ex parte LEENAARS et al.,NONE
08024495,1995001187,NONE,NONE,-1,5719618,19980217,19970722,Ex parte JINSU PARK,NONE
07865849,1995000143,NONE,NONE,-1,5745044,19980428,19970722,Ex parte HYATT et al.,NONE
07956497,1996000439,NONE,NONE,-1,6008788,19991228,19970722,Ex parte ISHIMARU,NONE
07889660,1994003636,NONE,NONE,-1,5710844,19980120,19970722,"Ex parte STEPHEN P. CAPPS, et al.",NONE
07944561,1996000750,NONE,NONE,-1,5913159,19990615,19970721,Ex parte MUIRHEAD,NONE
08363594,1996003263,NONE,NONE,-1,5752791,19980519,19970718,Ex parte EHRLICH,NONE
07746056,NONE,103638,NONE,-1,5857613,19990112,19970718,MCDILDA et al. V. DRUMMOND et al.,NONE
08008291,1996000526,NONE,NONE,-1,5793494,19980811,19970718,Ex parte DOUKEN et al.,NONE
07871530,1995001555,NONE,NONE,-1,5861649,19990119,19970718,Ex parte YOSHIDA et al.,NONE
07999609,1995002665,NONE,NONE,-1,5859455,19990112,19970718,Ex parte YU,NONE
07638390,NONE,103638,NONE,-1,5084284,19920128,19970718,MCDILDA et al. V. DRUMMOND et al.,NONE
08046470,NONE,103636,NONE,-1,6103427,20000815,19970716,HONG V. STORM,NONE
08045747,1996000324,NONE,NONE,-1,5813685,19980929,19970715,Ex parte LARIVIERE,NONE
07914150,1995001274,NONE,NONE,-1,5730962,19980324,19970715,"Ex parte AL EX JUNINO, et al.",NONE
07863216,1996000899,NONE,NONE,-1,5760704,19980602,19970715,Ex parte BARTON et al.,NONE
07936758,NONE,103636,NONE,-1,5344677,19940906,19970715,HONG V. STORM,NONE
07938960,1995000678,NONE,NONE,-1,5787640,19980804,19970715,Ex parte DUKE,NONE
08009406,1995001238,NONE,NONE,-1,5778041,19980707,19970715,Ex parte CHASE et al.,NONE
08276861,NONE,103722,NONE,-1,RE36259,19990727,19970714,EKETORP V. TENOLD,NONE
08002168,1996001349,NONE,NONE,-1,5774719,19980630,19970711,Ex parte BOWEN,NONE
07995635,1996001931,NONE,NONE,-1,5844350,19981201,19970711,Ex parte SCOTT et al.,NONE
07771063,1994004400,NONE,NONE,-1,5758052,19980526,19970711,Ex parte GLOWNY et al.,NONE
07870382,NONE,103809,NONE,-1,5279753,19940118,19970708,BLOINK et al. V. SHIMA et al.,NONE
08023693,1996003051,NONE,NONE,-1,5701501,19971223,19970708,Ex parte GANDHI,NONE
08461753,NONE,103809,NONE,-1,5849212,19981215,19970708,BLOINK et al. V. SHIMA et al.,NONE
07727932,1996000950,NONE,NONE,-1,5832215,19981103,19970708,Ex parte KATO et al.,NONE
07994035,1995003338,NONE,NONE,-1,5796575,19980818,19970708,Ex parte PODWALNY et al.,NONE
08200432,1996001805,NONE,NONE,-1,5769991,19980623,19970707,Ex parte MIYAZAWA et al.,NONE
08197011,1996004022,NONE,NONE,-1,5873422,19990223,19970702,Ex parte HANSEN et al.,NONE
